GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spotibase4,logic.gestioneCarrello,JsonCarrelloServlet,37,0,0,0,8,0,2,0,2,0
spotibase4,logic.gestioneCarrello,ServletCarrello,5,209,4,18,1,37,4,10,0,3
spotibase4,data.DAOUtente,Validator,28,0,0,0,7,0,5,0,5,0
spotibase4,data.DAOUtente,UtenteMapper,0,19,0,0,0,5,0,2,0,2
spotibase4,data.DAOUtente,Utente,56,66,0,2,24,15,16,8,16,7
spotibase4,data.DAOUtente,UtenteDAO,10,265,4,32,2,66,4,26,0,12
spotibase4,logic.gestioneCanzone,JsonCanzoneServlet,0,71,0,2,0,13,0,3,0,2
spotibase4,logic.gestioneAutenticazione,Logout,3,0,0,0,1,0,1,0,1,0
spotibase4,logic.gestioneAutenticazione,Login,46,63,3,5,13,16,3,4,1,2
spotibase4,logic.gestioneAutenticazione,Registrazione,26,169,3,13,7,44,3,8,1,2
spotibase4,logic.gestionePreferenza,JsonPreferitiServlet,14,58,0,2,4,14,0,3,0,2
spotibase4,data.Exceptions,OggettoNonInseritoException,7,0,0,0,4,0,2,0,2,0
spotibase4,data.Exceptions,OggettoNonTrovatoException,3,4,0,0,2,2,1,1,1,1
spotibase4,data.Exceptions,OggettoGiaPresenteException,3,4,0,0,2,2,1,1,1,1
spotibase4,data.Exceptions,OggettoNonCancellatoException,7,0,0,0,4,0,2,0,2,0
spotibase4,data.utils,SingletonJDBC,3,101,0,0,1,37,1,3,1,3
spotibase4,logic.gestionePlaylist,ServletPlaylist,127,145,20,9,35,39,14,6,1,4
spotibase4,logic.gestionePlaylist,JsonPlaylistServlet,7,101,0,4,2,21,0,5,0,3
spotibase4,data.DAOAcquisto,Acquisto,0,15,0,0,0,6,0,3,0,3
spotibase4,data.DAOAcquisto,AcquistoDAO,21,263,3,37,6,59,4,24,1,7
spotibase4,data.DAOCanzone,CanzoneMapperJSON,42,0,0,0,8,0,2,0,2,0
spotibase4,data.DAOCanzone,CanzoneDAO,72,190,6,20,17,51,5,15,1,6
spotibase4,data.DAOCanzone,Canzone,9,86,0,0,1,27,1,20,1,20
spotibase4,data.DAOCanzone,CanzoneMapper,0,44,0,0,0,10,0,2,0,2
spotibase4,data.DAOPreferenza,PreferenzaDAO,16,220,2,30,5,48,3,20,1,6
spotibase4,data.DAOPreferenza,Preferenza,0,15,0,0,0,6,0,3,0,3
spotibase4,data.DAOPlaylist,Playlist,7,31,0,0,3,13,2,9,2,9
spotibase4,data.DAOPlaylist,PlaylistDAO,45,424,8,58,8,102,8,38,0,13
spotibase4,data.DAOPlaylist,PlaylistMapper,0,24,0,0,0,6,0,2,0,2
spotibase4,logic,ServletIndex,118,0,4,0,26,0,4,0,2,0
